Id;Label
artistDisplayName-Claude Monet;Claude Monet
artistBeginDate-1840;1840
artistEndDate-1926;1926
objectBeginDate-1919;1919
title-Water Lilies;Water Lilies
title-Water Lilies;Water Lilies
title-The Manneporte (Étretat);The Manneporte (Étretat)
title-The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899);The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899)
title-Poppy Fields near Argenteuil;Poppy Fields near Argenteuil
artistDisplayName-Claude Monet;Claude Monet
title-Water Lilies;Water Lilies
title-The Manneporte (Étretat);The Manneporte (Étretat)
title-The Reprimand;The Reprimand
title-The Missionary's Adventures;The Missionary's Adventures
artistBeginDate-1840;1840
title-Water Lilies;Water Lilies
title-The Manneporte (Étretat);The Manneporte (Étretat)
title-The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899);The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899)
title-Poppy Fields near Argenteuil;Poppy Fields near Argenteuil
artistEndDate-1926;1926
title-Water Lilies;Water Lilies
title-Water Lilies;Water Lilies
title-Alsace;Alsace
title-Marie Depage- Edith Cavell;Marie Depage
objectBeginDate-1919;1919
title-Water Lilies;Water Lilies
title-A Footman Sleeping;A Footman Sleeping
title-A Bashi-Bazouk;A Bashi
title-The Artist's Wife (Périe, 1849–1887) Reading;The Artist's Wife (Périe, 1849–1887) Reading
artistNationality-France;France
